factor,mean_ic,mean_ric,std_ric,icir,valid_days
gpMargin,-0.013343606189017074,-0.007492320410165199,0.09658478586900916,-0.07757247006093156,446
YOYAsset_div_npMargin,-0.002968156823449516,-0.007288189118786356,0.09505619105595245,-0.07667242962108956,446
YOYLiability_div_dynamic_pe,-0.009516487105529985,-0.007114215982694947,0.08261089381741508,-0.08611716510922449,446
log_YOYEquity,-0.010115590736707807,-0.006906629338266368,0.13600323218861196,-0.05078283234245579,446
bias_18_sub_stochrsi_d,-0.009891475471449916,-0.006457451470853344,0.12908624441979413,-0.05002431901150852,446
adx_20_x_YOYAsset,-0.008300311520070517,-0.006312435792289604,0.12472294733981322,-0.05061166310551571,446
price_kurtosis,-0.013573972474811541,-0.006109413297900407,0.10215535821144933,-0.0598051184476751,446
vol_std_30,0.007698370067390931,-0.005563693081720315,0.1030983012734333,-0.0539649345624474,446
cmo_21_sub_roc_30,-0.00010310727702489177,-0.005320736006618253,0.12080938585897694,-0.044042405884169036,446
cmo_21_x_YOYAsset,-0.0041156735902514825,-0.005034590380031361,0.09262365381589774,-0.05435534199545077,446
YOYLiability_div_npMargin,0.006500700954325378,0.004589554153846556,0.08531679769187799,0.0537942618336632,446
cmo_21_x_YOYLiability,-0.012508395916448914,-0.004223757312364831,0.07770870020334689,-0.05435372488939038,446
cmo_21_x_YOYNI,0.014816891607779874,0.0040008812315656785,0.08487614595357344,0.04713787586154215,446
dupontAssetTurn_div_peg,-0.01388390375791369,-0.00394030023862067,0.13232433974974422,-0.029777592286292034,446
atr_14_x_YOYEPSBasic,0.007441479989294216,0.003935959757892459,0.10905464103012927,0.03609163003713931,446
cashRatio_div_npMargin,-0.01081655481462807,-0.0038283333042646544,0.07658749562384873,-0.04998640147560253,446
YOYLiability_div_roe_to_pb,0.0067063827176734,0.003679026684240168,0.09189343855696301,0.040035793001255565,446
atr_14_x_YOYNI,0.007859249348111772,0.0035535913051350488,0.11335423501607865,0.03134943572801662,446
bias_18_x_YOYEPSBasic,0.010800814743203312,0.003536027844648376,0.08028437630086516,0.04404378544833101,446
cci_20_x_YOYEPSBasic,0.011574139061518446,0.0032431557078899977,0.08156464428177848,0.03976178326341966,446
YOYPNI,0.007534286810446017,0.0031878429101578802,0.11192804050307165,0.028481182158016927,446
log_cashRatio,-0.004151873914094302,-0.003088293576017086,0.08262192909675323,-0.037378618603792026,446
bias_18_x_YOYNI,0.011413388717144564,0.0030263066545816895,0.08258859196932353,0.03664315594223682,446
ulcer_7,0.0164022041306381,0.0028802345173599454,0.1616984096257263,0.017812386182564525,446
cmo_21_x_YOYEPSBasic,0.01172744649957596,0.0028465425954050327,0.08376791585327738,0.03398129900224398,446
atr_14_x_YOYAsset,-0.005622817530182364,-0.002819863373977825,0.12965652746388823,-0.021748718935598592,446
YOYLiability_div_peg,-0.004371986128831869,0.0026977470467325405,0.09447422703019506,0.02855537569913442,446
YOYAsset_div_inv_pb,0.002933611560616335,-0.0026699077362566715,0.12214658288540868,-0.021858227002235785,446
cci_20_x_YOYNI,0.011784893141005871,0.002621848755326492,0.08396630178752297,0.031225011695299974,446
kdj_d_x_YOYLiability,-0.010211108706019248,0.002551737401630883,0.10165999043584614,0.025100704718649273,446
cashRatio,0.00046283464472002023,-0.002545077532509582,0.09081178858951537,-0.028025849639563456,446
log_YOYAsset,-0.003374000019026941,0.002337861940220703,0.121959064853041,0.01916923471853277,446
